application_id,client_id,branch_id,age,segment,employment_type,account_age_months,requested_amount,status,rejection_reason,recommended_action
APP_000002,CLI_00772,BR_037,73,Mass,Gig-worker,92,10235.7,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000005,CLI_01371,BR_038,39,Mass-Affluent,Salaried,59,14730.79,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000006,CLI_03133,BR_026,49,Mass,Unemployed,74,27556.27,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000007,CLI_00672,BR_009,67,Mass,Salaried,97,35681.8,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000008,CLI_01175,BR_019,31,Mass,Salaried,53,36985.4,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000011,CLI_01027,BR_045,58,Mass,Self-employed,61,33961.72,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000012,CLI_03555,BR_022,39,Mass,Salaried,22,1588.25,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000016,CLI_02380,BR_036,43,Mass,Unemployed,35,8159.1,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000017,CLI_04873,BR_005,30,Private,Gig-worker,71,3175.43,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000021,CLI_04754,BR_036,43,Mass,Self-employed,34,26857.57,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000022,CLI_01834,BR_033,66,Mass,Self-employed,32,47135.48,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000024,CLI_00741,BR_041,54,Mass,Gig-worker,105,36556.61,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000027,CLI_01444,BR_043,45,Mass-Affluent,Self-employed,81,8030.38,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
