branch_id,total_denied_applications,total_lost_value,rescuable_applications,potential_rescue_value
BR_001,62,1557069.35,59,1437316.43
BR_002,55,1297235.54,50,1155867.08
BR_003,72,2044711.65,70,2006142.95
BR_004,69,1739757.74,66,1662662.3
BR_005,85,2264305.72,81,2140026.94
BR_006,65,1568903.32,62,1484121.43
BR_007,63,1538244.58,61,1489712.3800000001
BR_008,62,1594347.58,61,1566705.78
BR_009,66,1727181.82,63,1665060.04
BR_010,67,1665751.88,64,1596100.73
BR_011,70,1882281.55,65,1733300.19
BR_012,71,1913961.35,65,1733620.98
BR_013,78,1900173.13,75,1839275.46
BR_014,66,1795642.84,62,1680350.02
BR_015,71,1600842.87,68,1533920.13
BR_016,70,1697728.75,62,1485738.67
BR_017,73,1836028.9,70,1796093.87
BR_018,69,1965001.57,68,1939423.42
BR_019,68,1913087.83,65,1824323.75
BR_020,54,1313194.92,50,1210757.01
BR_021,65,1716346.1,64,1669525.76
BR_022,74,1842199.99,72,1812951.59
BR_023,69,2004225.86,63,1850979.1400000001
BR_024,80,1991395.94,73,1857897.57
BR_025,83,2202157.18,81,2166751.0
BR_026,72,1778849.81,68,1689995.27
BR_027,69,1912693.26,66,1842360.71
BR_028,71,1709300.23,70,1700974.57
BR_029,75,2118278.14,74,2097587.61
BR_030,74,1754160.9,72,1707265.78
BR_031,68,1824056.29,66,1762762.89
BR_032,83,2258524.28,79,2169131.45
BR_033,64,1689452.94,57,1495993.86
BR_034,56,1314143.29,54,1265863.07
BR_035,77,2027277.5999999999,75,1969104.91
BR_036,62,1504118.79,59,1421651.96
BR_037,86,2020379.12,79,1852914.55
BR_038,87,1969079.36,80,1740870.37
BR_039,75,1803887.19,69,1642683.43
BR_040,86,2168766.74,83,2144727.32
BR_041,66,1917802.2,64,1876770.57
BR_042,78,1639452.28,75,1575538.39
BR_043,70,1610872.89,63,1384318.78
BR_044,81,1982247.45,79,1923604.58
BR_045,67,1709018.76,62,1621052.02
BR_046,72,1978371.36,71,1943167.1
BR_047,79,2148302.32,78,2124704.87
BR_048,80,1825440.42,78,1805684.79
BR_049,65,1817568.9,61,1750859.28
BR_050,62,1529372.16,57,1373042.59
