branch_id,region,manager_id
BR_001,West,MGR_191
BR_002,Central,MGR_466
BR_003,East,MGR_554
BR_004,Central,MGR_527
BR_005,Central,MGR_608
BR_006,South,MGR_875
BR_007,East,MGR_134
BR_008,East,MGR_305
BR_009,East,MGR_180
BR_010,Central,MGR_661
BR_011,West,MGR_971
BR_012,East,MGR_487
BR_013,Central,MGR_101
BR_014,South,MGR_489
BR_015,West,MGR_665
BR_016,South,MGR_205
BR_017,West,MGR_871
BR_018,Central,MGR_921
BR_019,North,MGR_576
BR_020,West,MGR_802
BR_021,South,MGR_501
BR_022,Central,MGR_829
BR_023,West,MGR_655
BR_024,North,MGR_261
BR_025,North,MGR_301
BR_026,East,MGR_369
BR_027,East,MGR_962
BR_028,South,MGR_915
BR_029,West,MGR_370
BR_030,West,MGR_555
BR_031,East,MGR_561
BR_032,West,MGR_826
BR_033,West,MGR_351
BR_034,North,MGR_801
BR_035,East,MGR_395
BR_036,Central,MGR_824
BR_037,East,MGR_819
BR_038,Central,MGR_848
BR_039,North,MGR_437
BR_040,South,MGR_978
BR_041,West,MGR_152
BR_042,North,MGR_891
BR_043,West,MGR_316
BR_044,South,MGR_863
BR_045,South,MGR_287
BR_046,North,MGR_479
BR_047,South,MGR_592
BR_048,Central,MGR_140
BR_049,South,MGR_256
BR_050,West,MGR_114
