client_id,age,account_age_months,employment_type,segment
CLI_00001,62,84,Business Owner,Mass
CLI_00002,18,15,Salaried,Mass
CLI_00003,42,114,Salaried,Mass
CLI_00004,24,116,Gig-worker,Mass
CLI_00005,26,109,Salaried,Mass
CLI_00006,41,93,Salaried,Mass
CLI_00007,18,8,Salaried,Mass
CLI_00008,61,41,Self-employed,Mass
CLI_00009,25,112,Unemployed,Mass
CLI_00010,41,19,Gig-worker,Mass
CLI_00011,28,112,Gig-worker,Mass
CLI_00012,68,103,Salaried,Mass-Affluent
CLI_00013,34,46,Self-employed,Premium
CLI_00014,25,28,Self-employed,Mass
CLI_00015,52,110,Gig-worker,Mass
CLI_00016,52,91,Salaried,Mass
CLI_00017,50,68,Salaried,Premium
CLI_00018,22,15,Salaried,Mass
CLI_00019,59,99,Gig-worker,Mass-Affluent
CLI_00020,56,37,Self-employed,Mass
CLI_00021,58,1,Unemployed,Mass
CLI_00022,45,67,Gig-worker,Mass
CLI_00023,24,111,Self-employed,Mass
CLI_00024,26,24,Unemployed,Premium
CLI_00025,25,27,Salaried,Mass
CLI_00026,29,40,Salaried,Mass
CLI_00027,51,63,Unemployed,Mass
CLI_00028,50,61,Salaried,Mass-Affluent
CLI_00029,65,36,Unemployed,Mass
CLI_00030,72,98,Business Owner,Mass
CLI_00031,40,93,Self-employed,Mass
CLI_00032,41,24,Self-employed,Mass
CLI_00033,54,24,Self-employed,Mass-Affluent
CLI_00034,52,106,Self-employed,Mass
CLI_00035,61,4,Salaried,Mass
CLI_00036,57,67,Salaried,Mass
CLI_00037,39,34,Salaried,Premium
CLI_00038,44,57,Self-employed,Mass
CLI_00039,52,49,Salaried,Mass
CLI_00040,18,87,Salaried,Premium
CLI_00041,52,53,Salaried,Mass
CLI_00042,54,116,Self-employed,Private
CLI_00043,64,23,Business Owner,Mass
CLI_00044,31,109,Business Owner,Mass
CLI_00045,20,69,Gig-worker,Mass-Affluent
CLI_00046,18,95,Unemployed,Premium
CLI_00047,22,53,Self-employed,Mass
CLI_00048,43,62,Gig-worker,Premium
CLI_00049,72,41,Gig-worker,Mass
CLI_00050,31,57,Salaried,Mass-Affluent
CLI_00051,56,60,Unemployed,Mass
CLI_00052,44,54,Salaried,Mass
CLI_00053,26,70,Gig-worker,Premium
CLI_00054,32,101,Self-employed,Premium
CLI_00055,32,57,Salaried,Mass
CLI_00056,43,10,Salaried,Mass
CLI_00057,59,40,Gig-worker,Mass
CLI_00058,30,7,Salaried,Mass
CLI_00059,68,103,Self-employed,Mass
CLI_00060,49,38,Gig-worker,Mass
CLI_00061,56,85,Gig-worker,Mass
CLI_00062,66,61,Gig-worker,Mass-Affluent
CLI_00063,69,84,Gig-worker,Mass
CLI_00064,49,3,Gig-worker,Mass
CLI_00065,21,51,Self-employed,Mass
CLI_00066,47,86,Self-employed,Mass-Affluent
CLI_00067,54,47,Self-employed,Mass
CLI_00068,40,68,Unemployed,Mass
CLI_00069,56,92,Salaried,Mass-Affluent
CLI_00070,62,76,Gig-worker,Mass-Affluent
CLI_00071,32,38,Unemployed,Mass-Affluent
CLI_00072,60,115,Salaried,Premium
CLI_00073,46,36,Salaried,Mass-Affluent
CLI_00074,53,111,Gig-worker,Mass-Affluent
CLI_00075,30,41,Salaried,Mass
CLI_00076,49,69,Salaried,Mass
CLI_00077,24,13,Business Owner,Mass
CLI_00078,68,87,Gig-worker,Mass
CLI_00079,39,58,Salaried,Mass
CLI_00080,45,50,Business Owner,Mass
CLI_00081,19,30,Business Owner,Mass-Affluent
CLI_00082,59,62,Gig-worker,Mass
CLI_00083,62,101,Salaried,Mass
CLI_00084,74,25,Self-employed,Private
CLI_00085,70,112,Self-employed,Mass
CLI_00086,23,27,Self-employed,Mass
CLI_00087,45,51,Unemployed,Mass
CLI_00088,45,78,Self-employed,Premium
CLI_00089,61,57,Salaried,Mass
CLI_00090,61,112,Self-employed,Mass-Affluent
CLI_00091,37,47,Salaried,Mass
CLI_00092,47,118,Self-employed,Mass
CLI_00093,28,100,Gig-worker,Mass
CLI_00094,72,39,Salaried,Mass-Affluent
CLI_00095,45,16,Gig-worker,Mass-Affluent
CLI_00096,42,22,Salaried,Mass-Affluent
CLI_00097,56,85,Salaried,Mass-Affluent
CLI_00098,50,54,Gig-worker,Mass
CLI_00099,18,21,Salaried,Mass-Affluent
CLI_00100,74,72,Self-employed,Mass
CLI_00101,44,113,Salaried,Mass-Affluent
CLI_00102,74,16,Self-employed,Mass
CLI_00103,69,59,Self-employed,Mass
CLI_00104,30,119,Self-employed,Mass
CLI_00105,58,31,Gig-worker,Mass
CLI_00106,20,42,Business Owner,Mass
CLI_00107,56,74,Salaried,Mass-Affluent
CLI_00108,23,32,Salaried,Mass
CLI_00109,25,59,Gig-worker,Mass
CLI_00110,44,34,Salaried,Mass-Affluent
CLI_00111,26,9,Business Owner,Mass
CLI_00112,54,81,Salaried,Mass-Affluent
CLI_00113,50,11,Self-employed,Mass
CLI_00114,68,96,Self-employed,Private
CLI_00115,59,10,Salaried,Mass
CLI_00116,61,86,Gig-worker,Mass
CLI_00117,41,17,Salaried,Mass
CLI_00118,32,68,Gig-worker,Mass
CLI_00119,71,48,Salaried,Premium
CLI_00120,49,52,Unemployed,Mass
CLI_00121,49,111,Business Owner,Mass
CLI_00122,41,25,Salaried,Mass
CLI_00123,58,21,Salaried,Mass-Affluent
CLI_00124,69,101,Self-employed,Mass
CLI_00125,66,102,Salaried,Private
CLI_00126,66,113,Unemployed,Mass
CLI_00127,69,65,Gig-worker,Mass
CLI_00128,29,63,Salaried,Mass
CLI_00129,56,89,Self-employed,Mass-Affluent
CLI_00130,19,51,Gig-worker,Premium
CLI_00131,20,36,Unemployed,Mass
CLI_00132,66,81,Unemployed,Mass
CLI_00133,54,105,Salaried,Mass-Affluent
CLI_00134,66,88,Salaried,Mass
CLI_00135,73,66,Business Owner,Mass
CLI_00136,34,104,Unemployed,Mass
CLI_00137,66,15,Salaried,Mass
CLI_00138,19,96,Self-employed,Mass
CLI_00139,19,39,Gig-worker,Mass
CLI_00140,45,70,Salaried,Mass
CLI_00141,71,1,Unemployed,Mass-Affluent
CLI_00142,40,111,Salaried,Mass
CLI_00143,54,23,Unemployed,Mass-Affluent
CLI_00144,49,39,Salaried,Mass
CLI_00145,50,57,Gig-worker,Mass-Affluent
CLI_00146,18,81,Salaried,Mass
CLI_00147,36,34,Gig-worker,Mass-Affluent
CLI_00148,19,41,Self-employed,Mass
CLI_00149,70,93,Salaried,Premium
CLI_00150,61,73,Gig-worker,Mass
CLI_00151,43,13,Gig-worker,Mass
CLI_00152,49,70,Salaried,Private
CLI_00153,23,6,Self-employed,Mass
CLI_00154,49,84,Salaried,Mass
CLI_00155,72,52,Gig-worker,Premium
CLI_00156,21,117,Gig-worker,Mass
CLI_00157,72,3,Gig-worker,Mass
CLI_00158,28,81,Salaried,Private
CLI_00159,73,63,Gig-worker,Mass
CLI_00160,34,49,Gig-worker,Premium
CLI_00161,55,76,Self-employed,Mass
CLI_00162,41,112,Self-employed,Mass-Affluent
CLI_00163,22,47,Gig-worker,Mass
CLI_00164,69,109,Salaried,Private
CLI_00165,51,55,Salaried,Mass
CLI_00166,23,64,Salaried,Mass
CLI_00167,39,65,Salaried,Mass-Affluent
CLI_00168,28,81,Salaried,Mass
CLI_00169,65,67,Salaried,Mass-Affluent
CLI_00170,33,90,Salaried,Premium
CLI_00171,50,15,Salaried,Mass
CLI_00172,26,100,Salaried,Mass-Affluent
CLI_00173,23,32,Salaried,Mass
CLI_00174,33,96,Salaried,Mass
CLI_00175,46,68,Gig-worker,Mass
CLI_00176,20,18,Gig-worker,Mass-Affluent
CLI_00177,37,113,Salaried,Mass
CLI_00178,53,83,Gig-worker,Mass-Affluent
CLI_00179,36,43,Salaried,Mass
CLI_00180,43,116,Salaried,Mass-Affluent
CLI_00181,20,35,Salaried,Mass
CLI_00182,36,104,Gig-worker,Mass-Affluent
CLI_00183,37,78,Self-employed,Mass
CLI_00184,49,58,Salaried,Mass
CLI_00185,24,33,Salaried,Mass
