application_id,client_id,branch_id,requested_amount,status,rejection_reason,application_date
APP_000001,CLI_03466,BR_035,17476.93,Approved,None,2026-04-13
APP_000002,CLI_00772,BR_037,10235.7,Denied,Score - Disabled Positive Credit Registry,2026-04-23
APP_000003,CLI_02457,BR_013,13526.47,Approved,None,2026-05-12
APP_000004,CLI_00471,BR_024,27125.7,Denied,Restriction - Historical Default on Central Bank SCR,2026-06-15
APP_000005,CLI_01371,BR_038,14730.79,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-19
APP_000006,CLI_03133,BR_026,27556.27,Denied,Score - Forgotten Micro-Debt,2026-08-05
APP_000007,CLI_00672,BR_009,35681.8,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-05
APP_000008,CLI_01175,BR_019,36985.4,Denied,Score - Forgotten Micro-Debt,2026-04-16
APP_000009,CLI_00111,BR_028,9069.56,Approved,None,2026-05-06
APP_000010,CLI_03560,BR_007,37771.11,Approved,None,2026-03-30
APP_000011,CLI_01027,BR_045,33961.72,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-25
APP_000012,CLI_03555,BR_022,1588.25,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-09
APP_000013,CLI_03234,BR_030,3884.74,Approved,None,2026-06-01
APP_000014,CLI_04440,BR_037,32666.23,Approved,None,2026-06-03
APP_000015,CLI_01473,BR_016,19801.49,Approved,None,2026-06-11
APP_000016,CLI_02380,BR_036,8159.1,Denied,Document Error - Expired or Illegible ID,2026-08-19
APP_000017,CLI_04873,BR_005,3175.43,Denied,Score - Disabled Positive Credit Registry,2026-06-21
APP_000018,CLI_02972,BR_029,8810.52,Approved,None,2026-06-02
APP_000019,CLI_02382,BR_023,47918.18,Approved,None,2026-04-12
APP_000020,CLI_03291,BR_006,36650.72,Approved,None,2026-05-19
APP_000021,CLI_04754,BR_036,26857.57,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-19
