application_id,client_id,branch_id,requested_amount,status,rejection_reason,application_date,age,account_age_months,employment_type,segment,lost_value,recommended_action,is_rescuable
APP_000001,CLI_03466,BR_035,17476.93,Approved,,2026-04-13,73,59,Salaried,Mass,0.0,,
APP_000002,CLI_00772,BR_037,10235.7,Denied,Score - Disabled Positive Credit Registry,2026-04-23,73,92,Gig-worker,Mass,10235.7,Credit Recovery - BACEN Education Journey,True
APP_000003,CLI_02457,BR_013,13526.47,Approved,,2026-05-12,50,53,Salaried,Mass-Affluent,0.0,,
APP_000004,CLI_00471,BR_024,27125.7,Denied,Restriction - Historical Default on Central Bank SCR,2026-06-15,50,63,Salaried,Mass,27125.7,Hard Decline - SCR Restriction,False
APP_000005,CLI_01371,BR_038,14730.79,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-19,39,59,Salaried,Mass-Affluent,14730.79,Restructuring - Add Co-signer or Increase Term,True
APP_000006,CLI_03133,BR_026,27556.27,Denied,Score - Forgotten Micro-Debt,2026-08-05,49,74,Unemployed,Mass,27556.27,Credit Recovery - Micro-settlement,True
APP_000007,CLI_00672,BR_009,35681.8,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-05,67,97,Salaried,Mass,35681.8,Restructuring - Add Co-signer or Increase Term,True
APP_000008,CLI_01175,BR_019,36985.4,Denied,Score - Forgotten Micro-Debt,2026-04-16,31,53,Salaried,Mass,36985.4,Credit Recovery - Micro-settlement,True
APP_000009,CLI_00111,BR_028,9069.56,Approved,,2026-05-06,26,9,Business Owner,Mass,0.0,,
APP_000010,CLI_03560,BR_007,37771.11,Approved,,2026-03-30,32,41,Unemployed,Private,0.0,,
APP_000011,CLI_01027,BR_045,33961.72,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-25,58,61,Self-employed,Mass,33961.72,Income Proof - Open Finance Connect,True
APP_000012,CLI_03555,BR_022,1588.25,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-09,39,22,Salaried,Mass,1588.25,Restructuring - Add Co-signer or Increase Term,True
APP_000013,CLI_03234,BR_030,3884.74,Approved,,2026-06-01,18,82,Salaried,Private,0.0,,
APP_000014,CLI_04440,BR_037,32666.23,Approved,,2026-06-03,18,118,Unemployed,Mass-Affluent,0.0,,
APP_000015,CLI_01473,BR_016,19801.49,Approved,,2026-06-11,36,12,Salaried,Mass-Affluent,0.0,,
APP_000016,CLI_02380,BR_036,8159.1,Denied,Document Error - Expired or Illegible ID,2026-08-19,43,35,Unemployed,Mass,8159.1,Fast Update - Request New ID,True
APP_000017,CLI_04873,BR_005,3175.43,Denied,Score - Disabled Positive Credit Registry,2026-06-21,30,71,Gig-worker,Private,3175.43,Credit Recovery - BACEN Education Journey,True
APP_000018,CLI_02972,BR_029,8810.52,Approved,,2026-06-02,31,87,Salaried,Mass,0.0,,
APP_000019,CLI_02382,BR_023,47918.18,Approved,,2026-04-12,18,73,Business Owner,Mass-Affluent,0.0,,
APP_000020,CLI_03291,BR_006,36650.72,Approved,,2026-05-19,57,29,Business Owner,Mass,0.0,,
APP_000021,CLI_04754,BR_036,26857.57,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-19,43,34,Self-employed,Mass,26857.57,Restructuring - Add Co-signer or Increase Term,True
APP_000022,CLI_01834,BR_033,47135.48,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-09,66,32,Self-employed,Mass,47135.48,Restructuring - Add Co-signer or Increase Term,True
APP_000023,CLI_00454,BR_049,31336.41,Approved,,2026-08-04,31,50,Self-employed,Mass,0.0,,
APP_000024,CLI_00741,BR_041,36556.61,Denied,Income - Missing Tax Return,2026-08-09,54,105,Gig-worker,Mass,36556.61,Income Proof - Request Tax Return,True
APP_000025,CLI_02381,BR_016,14849.94,Approved,,2026-08-20,46,5,Business Owner,Mass-Affluent,0.0,,
APP_000026,CLI_02358,BR_034,29860.11,Approved,,2026-04-02,54,27,Salaried,Premium,0.0,,
APP_000027,CLI_01444,BR_043,8030.38,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-12,45,81,Self-employed,Mass-Affluent,8030.38,Restructuring - Add Co-signer or Increase Term,True
APP_000028,CLI_03681,BR_026,20819.67,Approved,,2026-05-16,36,29,Gig-worker,Mass,0.0,,
APP_000029,CLI_01749,BR_037,2628.78,Approved,,2026-04-04,69,99,Salaried,Mass,0.0,,
APP_000030,CLI_02402,BR_013,11614.78,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-01,67,111,Self-employed,Mass,11614.78,Income Proof - Open Finance Connect,True
APP_000031,CLI_04920,BR_017,4668.56,Approved,,2026-08-06,53,52,Gig-worker,Mass,0.0,,
APP_000032,CLI_03172,BR_032,20001.16,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-05,64,51,Gig-worker,Mass,20001.16,Restructuring - Add Co-signer or Increase Term,True
APP_000033,CLI_04241,BR_032,42308.72,Approved,,2026-04-11,52,15,Salaried,Mass,0.0,,
APP_000034,CLI_02007,BR_028,19518.77,Approved,,2026-06-25,64,117,Gig-worker,Mass,0.0,,
APP_000035,CLI_01787,BR_029,41750.34,Denied,Registry Error - Data Mismatch with Tax Authority,2026-08-26,66,23,Salaried,Mass,41750.34,Fast Update - ID Verification,True
APP_000036,CLI_01410,BR_025,33168.42,Denied,Document Error - Expired or Illegible ID,2026-05-13,25,8,Salaried,Mass,33168.42,Fast Update - Request New ID,True
APP_000037,CLI_01763,BR_047,25966.94,Approved,,2026-04-24,42,112,Salaried,Mass-Affluent,0.0,,
APP_000038,CLI_00910,BR_022,12607.69,Approved,,2026-03-26,21,110,Gig-worker,Mass,0.0,,
APP_000039,CLI_00761,BR_027,46185.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-08,22,66,Self-employed,Mass-Affluent,46185.65,Income Proof - Open Finance Connect,True
APP_000040,CLI_03241,BR_044,3655.84,Denied,Document Error - Expired or Illegible ID,2026-07-28,60,63,Salaried,Premium,3655.84,Fast Update - Request New ID,True
APP_000041,CLI_02690,BR_038,34756.74,Approved,,2026-07-16,30,12,Business Owner,Premium,0.0,,
APP_000042,CLI_00531,BR_020,31440.75,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-01,43,92,Gig-worker,Private,31440.75,Restructuring - Add Co-signer or Increase Term,True
APP_000043,CLI_01360,BR_045,22611.03,Approved,,2026-06-04,45,62,Gig-worker,Mass-Affluent,0.0,,
APP_000044,CLI_03819,BR_050,12775.73,Approved,,2026-06-17,53,15,Gig-worker,Mass,0.0,,
APP_000045,CLI_02028,BR_024,22104.1,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-06,28,27,Unemployed,Mass,22104.1,Restructuring - Add Co-signer or Increase Term,True
APP_000046,CLI_02561,BR_047,43765.86,Approved,,2026-04-24,62,36,Salaried,Mass,0.0,,
APP_000047,CLI_02178,BR_047,42001.54,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-05-20,23,1,Self-employed,Mass-Affluent,42001.54,Income Proof - Open Finance Connect,True
APP_000048,CLI_01538,BR_008,47127.68,Approved,,2026-07-04,38,116,Business Owner,Mass,0.0,,
APP_000049,CLI_01274,BR_014,16081.87,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-28,35,13,Salaried,Mass,16081.87,Fast Update - ID Verification,True
APP_000050,CLI_02782,BR_039,19968.1,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-06-30,20,77,Self-employed,Mass,19968.1,Income Proof - Open Finance Connect,True
APP_000051,CLI_00947,BR_014,1917.58,Denied,Restriction - Historical Default on Central Bank SCR,2026-04-09,64,48,Unemployed,Premium,1917.58,Hard Decline - SCR Restriction,False
APP_000052,CLI_01299,BR_005,47204.55,Approved,,2026-07-09,58,77,Salaried,Mass,0.0,,
APP_000053,CLI_02512,BR_047,17140.11,Approved,,2026-04-29,36,11,Self-employed,Mass,0.0,,
APP_000054,CLI_02189,BR_021,20804.03,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-05,25,81,Gig-worker,Mass-Affluent,20804.03,Income Proof - Open Finance Connect,True
APP_000055,CLI_00882,BR_015,45482.43,Denied,Score - Disabled Positive Credit Registry,2026-08-10,27,79,Gig-worker,Mass,45482.43,Credit Recovery - BACEN Education Journey,True
APP_000056,CLI_01848,BR_036,26803.32,Denied,Score - Disabled Positive Credit Registry,2026-04-29,42,92,Gig-worker,Mass,26803.32,Credit Recovery - BACEN Education Journey,True
APP_000057,CLI_01976,BR_033,28742.55,Denied,Restriction - Historical Default on Central Bank SCR,2026-05-27,37,41,Unemployed,Mass-Affluent,28742.55,Hard Decline - SCR Restriction,False
APP_000058,CLI_04269,BR_017,9635.41,Approved,,2026-05-08,71,104,Unemployed,Mass,0.0,,
APP_000059,CLI_04569,BR_020,25434.34,Denied,Restriction - Historical Default on Central Bank SCR,2026-08-03,36,52,Salaried,Mass,25434.34,Hard Decline - SCR Restriction,False
APP_000060,CLI_02965,BR_001,45992.22,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-05,54,25,Business Owner,Private,45992.22,Restructuring - Add Co-signer or Increase Term,True
APP_000061,CLI_03064,BR_016,28377.19,Approved,,2026-08-30,30,98,Gig-worker,Premium,0.0,,
APP_000062,CLI_03129,BR_045,13500.7,Denied,Restriction - Historical Default on Central Bank SCR,2026-07-21,19,13,Salaried,Mass,13500.7,Hard Decline - SCR Restriction,False
APP_000063,CLI_00498,BR_018,2527.86,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-11,44,82,Self-employed,Mass-Affluent,2527.86,Income Proof - Open Finance Connect,True
